Código;Descripción;Precio;Stock
6910HP290G2MT1GB;Ordenador HP 290 G2 MT TORRE GRADO B (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W10P) Preinstalado;345;6 
6910HP290G2MT2GB;Ordenador HP 290 G2 MT TORRE GRADO B (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W7P) Preinstalado;325;1 
6910HP600G4MT1GB;Ordenador HP 600 G4 MT TORRE GRADO B (Intel Core i5 8400 2.8Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;299;31 
6910HP800G5T1GAP;Ordenador Premium HP EliteDesk 800 G5 Torre (Intel Core i5 9500 3 GHz/16GB/512SSD/NO-DVD/W10H) NUEVO Preinstalado;450;9 
6910LENV5201GA;Ordenador Lenovo V520 Torre GRADO A (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;175;1 
6910LENV5201GB;Ordenador Lenovo V520 Torre GRADO B (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;159;26 
6910DP4901GB;Ordenador Dell Precision 490 TORRE FX3500 256MB GRADO B (Intel Xeon 5130 2.0Ghz/4GB/500GB/DVD/W7P) Preinstalado;65;3 
6910DPT16001GB;Ordenador Dell Precision T1600 Workstation TORRE GRADO B NVS 310 512MB (Intel Xeon E3 1225 3.1Ghz/4GB/500GB/DVD/W7P) Preinstalado;79;41 
6910DPT56001GB;Ordenador Dell Precision T5600 Workstation TORRE K600 1GB GRADO B (Intel Xeon E5 2640 2.5Ghz/16GB/240SSD/DVD/W7P) Preinstalado;309;19 
6910DPT58101GB;Ordenador Dell Precision T5810 Workstation TORRE NVS310 1GB GRADO B (Intel Xeon E5 1620 v3 3.5Ghz/16GB/240SSD/DVD/W7P) Preinstalado;349;1 
6910DPT58103GB;Ordenador Dell Precision T5810 Workstation TORRE NVS310 1GB GRADO B (Intel Xeon E5 1607 v3 3.1Ghz/16GB/240SSD/DVD/W8P) Preinstalado;345;1 
6910D7552GB;Ordenador Dell Optiplex 755 GRADO B (Intel Core2Duo E6550 2.33Ghz/4GB/120SSD/DVD/W7P) Preinstalado;55;1 
6910DO7802GB;Ordenador Dell Optiplex 780 SFF GRADO B (Intel Core2Duo E8400 3.0Ghz/4GB/120SSD/DVD/W7P) Preinstalado;55;7 
6910DO7803GB;Ordenador Dell Optiplex 780 SFF GRADO B (Intel Core2Duo E7500 2.93Ghz/4GB/120SSD/DVD/W7P) Preinstalado;55;2 
6910LENM71E1GB;Ordenador Lenovo M71e SFF GRADO B (Intel Pentium G630 2.7GHz/4GB/500GB/DVD/W7P) Preinstalado;99;1 
6910LENM73110GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G1820 2.7Ghz/4GB/120SSD/NO-DVD/W7P) Preinstalado;65;55 
6910LENM73123GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G3220 3.0Ghz/4GB/240SSD/DVD/W8P) Preinstalado;75;3 
6910LENM7318GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G1820 2.7Ghz/4GB/240SSD/NO-DVD/W7P) Preinstalado;75;9 
6910HP800G41GA;Ordenador HP 800 G4 SFF GRADO A (Intel Core i3 8300 3.7Ghz/8GB/256SSD-M.2/NO-DVD/W10P) Preinstalado;189;125 
