Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;MPN;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
; ;Ordenador HP 290 G2 ;Ordenadores,Torres ;345; ; ; ; ; ; ; ;6910HP290G2MT1GB; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W10P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8500 (Frecuencia base @ 3.0 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 3.7 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   Grabadora de DVD<br />· Conexiones frontales     x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 2.0 x, x1 HDMI, x1 VGA, x1 RJ45, x3 Jack de audio (Line In/Out) <br />· Otras conexiones      X1 PCIE 16x,  X1 PCIE X1<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp290g2mt1gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 10:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 290 G2 ;Ordenadores,Torres ;325; ; ; ; ; ; ; ;6910HP290G2MT2GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core i5 8500 3.0Ghz/8GB/240SSD/DVDRW/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8500 (Frecuencia base @ 3.0 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 3.7 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   Grabadora de DVD<br />· Conexiones frontales     x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 2.0, x2 USB 2.0 x, x1 HDMI, x1 VGA, x1 RJ45, x3 Jack de audio (Line In/Out) <br />· Otras conexiones      X1 PCIE 16x,  X1 PCIE X1<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp290g2mt2gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador HP 600 G4 ;Ordenadores,Torres ;299; ; ; ; ; ; ; ;6910HP600G4MT1GB; ; ; ; ; ; ; ; ; ; ; ; ; ;31; ; ; ; ; ; ; ; (Intel Core i5 8400 2.8Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 10 PRO<br /><br />Ordenador de Micro torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 8400 (Frecuencia base @ 2.8 Ghz 6 nucleos, Frecuencia turbo 4 nucleos @ 4.0 Ghz)<br />· Disco Duro     240GB SATA SSD (Varias marcas, segun disponibilidad)<br />· Memorias     8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador   NO<br />· Conexiones frontales     x2 USB 3.0, x2 USB 2.0 x1 Jack de audio, x1 USB C<br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0 x, x3 Displayport, x1 RJ45, x2 Jack de audio (Line In/Out)<br />· Otras conexiones      X1 PCIE 16x,  X2 PCIE X1, X1 PCIE X4, x1 puerto M.2<br /><br /><br />- Incluyen Sistema Operativo Windows 10 PRO Preinstalado<br />- Incluyen cables de alimentación<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp600g4mt1gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 10:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Premium HP;Portátiles,Torres ;450; ; ; ; ; ; ; ;6910HP800G5T1GAP; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; (Intel Core i5 9500 3 GHz/16GB/512SSD/NO-DVD/W10H) NUEVO Preinstalado;ARTICULO PREMIUM. <br /><br />Todos nuestros artículos premium tienen un estado impecable, y pueden considerarse como nuevos.<br /><br />Son productos procedentes de excedentes de stock de grandes superficies o de exposición.<br /><br />Estos equipos incluyen licencia Windows 10 <br /><br />NUEVO<br /><br />Ordenador de TORRE<br /><br />Especificaciones:<br /><br />· Marca     HP<br />· Procesador     Intel Core i5 9500  (6 Nucleos 6 Hilos @ 3 Ghz, turbo @ 4.4Ghz)<br />· Gráficos             HD Intel 630<br />· Disco Duro       512GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Expansion disco  (2 3.5 o x2 de 2.5)<br />· Memorias         16GB DDR4 (4 ZOCALOS)<br />· Lector/Grabador   NO<br />· Conexiones frontales     x2 USB 2.0, x2 USB 3.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x2 USB 2.0, x4 USB 3.0, x2 DisplayPort, x1 RJ45, x2 Jack de audio    (Line In/Out/Mic) <br />· Otras Conexiones Pci : 1x PCI Express 3.0 x16 /1x PCI Express 3.0 x4, 2x PCI x1<br /><br /><br /><br />- Sistema Operativo Windows 10 Preinstalado<br />- Incluyen caja original y cable de alimentacion.<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910hp800g5t1gap_1.jpg; ; ;Memoria RAM:16GB:1:0, Procesador:Intel i5:2:0, Sistema operativo:Windows 10:3:0, Tipo:Torre:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Lenovo V52;Ordenadores,Torres ;175; ; ; ; ; ; ; ;6910LENV5201GA; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />Ordenador Torre<br /><br />GRADO A<br /><br />Especificaciones:<br /><br />· Marca                             Lenovo<br />· Procesador                     Intel core i5 6600K (4 nucleos @ 3.5 Ghz)<br />· Gráfica                           HD Intel 530<br />· Disco Duro                     240 GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador            NO<br />· Conexiones frontales     x4 USB 3.0, x2 Jack de audio Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x1 DISPLAYPORT, x1 HDMI , x1 VGA, x1 RJ45, x3 Jack de audio (In, Out, Microphone)<br />· Otras conexiones           (1) PCIe x16, (1) PCIe x1<br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenv5201ga_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel DualCore Core2:2:0, Sistema operativo:Windows 8:3:0, Tipo:Torre:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Lenovo V52;Ordenadores,Torres ;159; ; ; ; ; ; ; ;6910LENV5201GB; ; ; ; ; ; ; ; ; ; ; ; ; ;26; ; ; ; ; ; ; ; (Intel Core I5 6600K 3.5Ghz/8GB/240GB-M.2/NO-DVD/W8P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 8 PRO<br /><br />Ordenador Torre<br /><br />GRADO B<br /><br />Especificaciones:<br /><br />· Marca                             Lenovo<br />· Procesador                     Intel core i5 6600K (4 nucleos @ 3.5 Ghz)<br />· Gráfica                           HD Intel 530<br />· Disco Duro                     240 GB SSD M.2 (Varias marcas, segun disponibilidad)<br />· Memorias                       8GB DDR4 (2 ZOCALOS)<br />· Lector/Grabador            NO<br />· Conexiones frontales     x4 USB 3.0, x2 Jack de audio Altavoces/Auriculares <br />· Conexiones traseras      x4 USB 3.0, x1 DISPLAYPORT, x1 HDMI , x1 VGA, x1 RJ45, x3 Jack de audio (In, Out, Microphone)<br />· Otras conexiones           (1) PCIe x16, (1) PCIe x1<br /><br /><br />- Incluyen Sistema Operativo Preinstalado Windows 10 Pro<br />- Testeados y 100% verificados<br />; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910lenv5201gb_1.jpg; ; ;Memoria RAM:8GB:1:0, Procesador:Intel DualCore Core2:2:0, Sistema operativo:Windows 8:3:0, Tipo:Torre:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Dell Preci;Ordenadores,Torres ;65; ; ; ; ; ; ; ;6910DP4901GB; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; (Intel Xeon 5130 2.0Ghz/4GB/500GB/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon 5130  (2 nucleos @ 2.0Ghz)<br />· Gráfica dedicada                           Nvidia FX3500 de 256 MB<br />· Disco Duro                                     500GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      4GB DDR2<br />· Lector/Grabador                           Lectora de DVD<br />· Conexiones frontales     x2 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x5 USB 2.0, x1 RJ45, 2x puerto serie, x2 Puerto paralelo, x2 Jack de audio, x2 PS2<br /><br /><br />- Incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910dp4901gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:500GB:2:0, Procesador:Intel i7:3:0, Sistema operativo:Windows 7:4:0, Tipo:Sobremesa SFF:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Dell Preci;Ordenadores,Torres ;79; ; ; ; ; ; ; ;6910DPT16001GB; ; ; ; ; ; ; ; ; ; ; ; ; ;41; ; ; ; ; ; ; ; (Intel Xeon E3 1225 3.1Ghz/4GB/500GB/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon E3 1225  (4 nucleos @ 3.1Ghz)<br />· Gráfica dedicada                           NVS 310 512MB<br />· Disco Duro                                     500GB HDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      4GB DDR3l<br />· Lector/Grabador                           Lectora de DVD<br />· Conexiones frontales     x4 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras      x6 USB 2.0, x1 RJ45, 1x puerto serie, x2 Jack de audio, x2 PS2, x1 DP<br /><br /><br />- Incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910dpt16001gb_1.jpg; ; ;Memoria RAM:4GB:1:0, Disco Duro:500GB:2:0, Procesador:Intel i7:3:0, Sistema operativo:Windows 7:4:0, Tipo:Sobremesa SFF:5:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Dell Preci;Ordenadores,Torres ;309; ; ; ; ; ; ; ;6910DPT56001GB; ; ; ; ; ; ; ; ; ; ; ; ; ;19; ; ; ; ; ; ; ; (Intel Xeon E5 2640 2.5Ghz/16GB/240SSD/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon E5 2640  (6 nucleos @ 2.5Ghz)<br />· Gráfica dedicada                           Nvidia K600 de 1 GB x1 DVI, x1 DP<br />· Disco Duro                                     240GB SDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      16GB DDR3L (4 zocalos)<br />· Lector/Grabador                           Lectora de DVD<br />· Conexiones frontales     x1 USB 3.0, x3 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x1 USB 3.0, x5 USB 2.0, x1 RJ45, 1x puerto serie, x2 Jack de audio, x2 PS2<br /><br /><br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910dpt56001gb_1.jpg; ; ;Memoria RAM:16GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
; ;Ordenador Dell Preci;Ordenadores,Torres ;349; ; ; ; ; ; ; ;6910DPT58101GB; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; (Intel Xeon E5 1620 v3 3.5Ghz/16GB/240SSD/DVD/W7P) Preinstalado;Equipos comprobados y testeados completamente. Pueden tener signos de desgaste o arañazos en su carcasa, pero son completamente funcionales. <br /><br />Estos equipos incluyen licencia de Windows 7 PRO<br /><br />GRADO B<br /><br />Ordenador de Torre<br /><br />Especificaciones:<br /><br />· Marca                                             Dell<br />· Procesador                                    Intel Xeon E5 1620 v3 (4 nucleos @ 3.5Ghz)<br />· Gráfica dedicada                           Nvidia NVS310 de 1 GB Dedicado. <br />· Disco Duro                                     240GB SDD (Varias marcas, segun disponibilidad)<br />· Memorias                                      16GB DDR4<br />· Lector/Grabador                           Grabadora de DVD<br />· Conexiones frontales     x1 USB 3.0, x3 USB 2.0, x1 Micrófono, x1 Altavoces/Auriculares <br />· Conexiones traseras     x4 USB 3.0, x2 USB 2.0, x1 RJ45, 1x puerto serie, x2 Jack de audio, x2 PS2, <br />x2 DisplayPort<br /><br /><br />- No incluyen cables de alimentación<br />- Sistema Operativo Windows 10 PRO Preinstalado<br />- Testeados y 100% verificados; ; ; ; ; ; ; ; ; ; ; ;http://www.diginova.es/xweb3/fotoartic/art_6910dpt58101gb_1.jpg; ; ;Memoria RAM:16GB:1:0, Procesador:Intel i7:2:0, Sistema operativo:Windows 7:3:0, Tipo:Sobremesa SFF:4:0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
